format_1,,format_2,Keyword 1,SV,Keyword 2,SV,VTT or SRT?,Already on HappyScribe?,URL
txt, to ,sup,convert txt to sup,,txt to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-sup
txt, to ,itt,convert txt to itt,,txt to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-itt
txt, to ,webvtt,convert txt to webvtt,,txt to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-webvtt
txt, to ,idx,convert txt to idx,,txt to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-idx
txt, to ,rtmp,convert txt to rtmp,,txt to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-rtmp
txt, to ,pgs,convert txt to pgs,,txt to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-pgs
xml, to ,qt,convert xml to qt,,xml to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-qt
xml, to ,sbv,convert xml to sbv,,xml to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-sbv
xml, to ,smi,convert xml to smi,,xml to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-smi
xml, to ,dfxp,convert xml to dfxp,,xml to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-dfxp
xml, to ,rt,convert xml to rt,,xml to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-rt
xml, to ,scc,convert xml to scc,,xml to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-scc
xml, to ,ssa,convert xml to ssa,,xml to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-ssa
xml, to ,sub,convert xml to sub,,xml to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-sub
xml, to ,ttml,convert xml to ttml,,xml to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-ttml
xml, to ,vtt,convert xml to vtt,,xml to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-vtt
xml, to ,lrc,convert xml to lrc,,xml to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-lrc
xml, to ,sup,convert xml to sup,,xml to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-sup
xml, to ,itt,convert xml to itt,,xml to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-itt
xml, to ,webvtt,convert xml to webvtt,,xml to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-webvtt
xml, to ,idx,convert xml to idx,,xml to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-idx
xml, to ,rtmp,convert xml to rtmp,,xml to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-rtmp
xml, to ,pgs,convert xml to pgs,,xml to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-pgs
dfxp, to ,csv,convert dfxp to csv,,dfxp to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-csv
dfxp, to ,qt,convert dfxp to qt,,dfxp to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-qt
dfxp, to ,sbv,convert dfxp to sbv,,dfxp to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-sbv
dfxp, to ,stl,convert dfxp to stl,,dfxp to stl,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-stl
dfxp, to ,smi,convert dfxp to smi,,dfxp to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-smi
dfxp, to ,txt,convert dfxp to txt,,dfxp to txt,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-txt
dfxp, to ,xml,convert dfxp to xml,,dfxp to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-xml
dfxp, to ,rt,convert dfxp to rt,,dfxp to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-rt
dfxp, to ,scc,convert dfxp to scc,,dfxp to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-scc
dfxp, to ,ssa,convert dfxp to ssa,,dfxp to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-ssa
dfxp, to ,sub,convert dfxp to sub,,dfxp to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-dfxp-to-sub
